Name,Yelp Rating,NYC Rating
north-river-lobster-company-new-york-2,3.5,25.5
paphos-diner-brooklyn,3.5,20.344827586206897
il-palazzo-new-york-2,3.5,21.324324324324323
mille-feuille-bakery-new-york-2,4.0,10.666666666666666
imperial-palace-flushing,4.0,29.902439024390244
baby-bos-cantina-new-york,3.5,21.357142857142858
mee-sum-coffee-shop-new-york,4.0,32.775510204081634
paulie-gees-brooklyn,4.5,12.153846153846153
fiorini-new-york-3,4.0,19.63888888888889
the-astor-room-astoria,3.5,15.06
porto-rico-importing-company-new-york-2,4.5,0.0
latin-bakery-restaurant-queens,4.0,31.56756756756757
meskel-new-york,3.5,9.416666666666666
juicy-lucy-juice-bar-new-york-2,4.0,19.867924528301888
hibernia-new-york,4.0,9.0
golds-gym-brooklyn-3,3.5,7.75
nordic-delicacies-brooklyn,4.5,20.80952380952381
lenos-clam-bar-new-rochelle,3.0,18.870967741935484
bouchon-bakery-new-york,4.0,17.045454545454547
off-the-wall-frozen-yogurt-new-york,4.0,9.6
bagel-bagel-nyc-jackson-heights,4.0,32.666666666666664
toasties-new-york-6,4.0,24.93010752688172
yu-sushi-bar-flushing,4.0,10.375
mezzaluna-new-york,4.0,16.666666666666668
famous-amadeus-pizza-new-york,3.0,22.66304347826087
taro-sushi-brooklyn,4.0,5.0
blooms-tavern-new-york,3.5,12.416666666666666
baraka-buffet-restaurant-manhattan,4.5,15.923076923076923
blinks-deli-long-island-city,2.5,25.25423728813559
tropical-128-new-york,3.5,17.128205128205128
belli-osteria-brooklyn,4.0,18.2
frankies-457-brooklyn,4.0,22.1875
great-wall-chinese-restaurant-new-york-4,4.0,19.96323529411765
red-mango-astoria,4.0,3.5
st-johns-university-queens,3.5,18.333333333333332
morrell-wine-bar-and-cafe-new-york,3.5,15.588235294117647
caterinas-pizzeria-brooklyn,3.0,15.266666666666667
chefs-club-by-food-and-wine-ny-new-york,4.0,5.0
the-original-johns-deli-brooklyn,4.0,18.933333333333334
the-metropolitan-glen-cove-2,5.0,11.357142857142858
taqueria-el-buen-gusto-new-york,2.5,26.0
afsona-restaurant-brooklyn,4.0,26.322033898305083
saraghina-brooklyn,4.0,15.741935483870968
cost-plus-world-market-livingston-3,4.0,9.444444444444445
graham-avenue-meats-and-deli-brooklyn,4.5,18.166666666666668
alley-pond-golf-center-little-neck,3.0,11.578947368421053
city-chow-cafe-new-york-2,2.5,11.363636363636363
abus-homestyle-bakery-brooklyn,3.5,23.40625
scratcher-new-york,4.0,20.818181818181817
blue-water-grill-new-york,3.5,8.5
pardalis-and-nohavicka-llp-astoria,5.0,14.0
reben-luncheonette-brooklyn,4.5,13.32258064516129
rocoto-restaurant-jamaica,4.0,28.136363636363637
union-square-greenmarket-new-york,4.5,9.555555555555555
la-choza-del-gordo-long-island-city,3.0,21.3
coppola-ristorante-and-pizzeria-new-providence,4.0,14.65625
barfly-ny-new-york,4.0,10.857142857142858
hanjan-new-york,3.5,23.25581395348837
the-ding-dong-lounge-new-york,4.0,9.478260869565217
judge-roy-bean-public-house-new-york,4.0,13.52
ivan-ramen-slurp-shop-new-york,3.0,2.5
cochinita-brooklyn,3.0,9.75
pitkin-bonao-grill-restaurant-brooklyn,4.0,24.03846153846154
fat-buddha-new-york,4.0,22.0
boqueria-new-york,4.0,17.441176470588236
schapiros-new-york,4.0,30.375
bareburger-astoria-2,4.0,20.952380952380953
starbucks-new-york-342,3.5,12.2
tong-xin-hot-pot-brooklyn,3.0,11.19047619047619
sunnyside-pizza-sunnyside-2,4.0,14.055555555555555
jumbos-hamburger-place-new-york,3.5,18.875
napoleons-pizzeria-new-york,3.0,12.5
cafe-asean-new-york,4.0,25.557142857142857
picket-fence-brooklyn,2.5,21.41509433962264
jean-georges-new-york,4.5,14.8
